Date,CNR,BB,MFC,XIT,XUT,XMA,XCG,XCS,XDV,XIN,XSP,XLB,XSB,XCB
2013-05-10,0.005578916,0.014102798,0.011635403,0.010063016,0.001923009,0.002865344,0.000444702,0,0.005820792,0.007175688,0.004814323,-0.007285546,-0.000693115,-0.003246393
2013-05-13,-0.003324071,0.020788213,0.001284604,0.007481247,0.000959977,-0.021693086,-0.005345332,-0.007194258,-0.000447417,0.001428656,0.001066464,-0.003446457,0,-0.001394347
2013-05-14,0.015642632,-0.031025026,0.025975585,-0.006230574,-0.002882986,0,0.007120592,0.001443164,0.000447417,0.006641463,0.009549524,-0.003458249,-0.001040283,-0.000930843
2013-05-15,-0.005122468,-0.018170519,-0.01512345,-0.001250673,-0.003374262,-0.025917737,-0.003553831,-0.010873961,-0.007167833,0.005187422,0.005265666,0.005182962,0.001040283,0.00232519
2013-05-16,0.003868714,-0.016507473,0.011364096,-0.007537752,0.006737602,0.002248293,-0.00178179,0.007262346,0.00224467,-0.006607048,-0.004210701,0.003870421,0,0.001393258
2013-05-17,0.019878175,0.001995345,0.011236022,0.011285429,0.007167879,-0.012806343,0,0.000723284,0.009377048,0.012235493,0.009971376,-0.001718108,0.001039604,-0.000928776
2013-05-21,0.000946045,0.007282389,0.002479725,0.009925453,0.003328728,0.015795978,0.020300706,0.012931348,0.01017073,0.00466618,0.002086618,0.000429694,-0.000693277,0.000928776
2013-05-22,0.00188866,-0.009943735,0.004941173,-0.014925482,-0.003328728,0.014815069,0.002181881,0,-0.003084666,-0.006538852,-0.007847293,-0.006898937,-0.000346327,-0.002787604
2013-05-23,-0.016650529,-0.007355433,-0.013023224,-0.00754712,-0.008608211,-0.006639834,-0.018922226,-0.000713824,-0.003537102,-0.020355971,-0.003156241,0.000431724,-0.000346447,0
2013-05-24,0.0026828,0.002011399,-0.004379296,-0.001263543,-0.003670339,-0.008921951,-0.004452371,0.002852652,0.002131585,-0.010576933,-0.000526909,0.002166543,0.001527918,0.001584865
